feedGuid,itemGuid,title,artist,feedUrl,feedTitle,episodeId,feedId
"3ae285ab-434c-59d8-aa2f-59c6129afb92","d8145cb6-97d9-4358-895b-2bf055d169aa","Neon Hawk","John Depew Trio","https://wavlake.com/feed/music/99ed143c-c461-4f1a-9d0d-bee6f70d8b7e","Bell of Hope","40262390560","7422180"
"6fc2ad98-d4a8-5d70-9c68-62e9efc1209c","aad6e3b1-6589-4e22-b8ca-521f3d888263","Grey's Birthday","Big Awesome","https://wavlake.com/feed/music/5a07b3f1-8249-45a1-b40a-630797dc4941","Birdfeeder (EP)","29982854680","7086035"
"dea01a9d-a024-5b13-84aa-b157304cd3bc","52007112-2772-42f9-957a-a93eaeedb222","Smokestacks","Herbivore","https://wavlake.com/feed/music/328f61b9-20b1-4338-9e2a-b437abc39f7b","Smokestacks","16429855198","6685399"
"95e5f7a9-d88e-5e51-b2ae-f4b1865d19c4","d79f242f-0651-4b12-be79-c2bac234cfde","Hit the Target [Live in Amsterdam]","Theo Katzman","https://wavlake.com/feed/music/8aaf0d1e-7ac3-4f7d-993b-6f59f936d780","Live From the Other Side","33874518602","7216277"
"3058af0c-1807-5732-9a08-9114675ef7d6","c51ecaa4-f237-4707-9c62-2de611820e4b","Lost Summer","Ollie","https://wavlake.com/feed/music/883ea557-39c0-4bec-9618-c75978bc63b5","Lost Summer","39446986829","7400497"
"011c3a82-d716-54f7-9738-3d5fcacf65be","c2ba80cc-add9-42ad-9a8f-b490436826ae","Quiet Day","Lara J","https://wavlake.com/feed/music/79f5f4f0-a774-40ed-abdf-90ada1980a71","Abyss / Quiet day","39685112503","7406941"
"0ab5bc9d-c9fb-52f4-8b8c-64be5edf322f","7bc23b30-5d37-4e03-8256-543b7bf17ba8","it can be erased","Nate Johnivan","https://wavlake.com/feed/music/d7a1d7bc-ae06-4b3b-a3fa-4e203d68dbaf","it can be erased","19754379965","6816636"
"187f22db-79cb-5ac4-aa60-54e424e3915e","83b608cb-fbb8-4cc4-895e-bd1cf2b08ae3","It's Christmastime Again! (lofi beats mix)","HeyCitizen","https://files.heycitizen.xyz/Songs/Albums/Lofi-Experience/lofi.xml","HeyCitizen's Lo-Fi Hip-Hop Beats to Study and Relax to","31122108876","6996400"
"265706d5-d6a1-5e96-b4c8-5db454844254","fe6b1845-6b98-425d-aa07-9531474939de","Leaving The Country","bennyjeans","https://www.wavlake.com/feed/6f9ec822-9e9c-497d-b90a-f49035a40f0f","Sad Songs","15565794242","6422472"
"5a95f9d8-35e3-51f5-a269-ba1df36b4bd8","7c823adf-1e53-4df1-98c0-979da81ec916","Bloodshot Lies FUNK","The Doerfels","https://www.doerfelverse.com/feeds/bloodshot-lies-album.xml","Bloodshot Lies - The Album","40193907278","7365153"
